DATA_SET_ID,FILE_SPECIFICATION_NAME,PRODUCT_ID,VOLUME_ID,PRODUCT_CREATION_TIME,START_TIME,STOP_TIME,EXPOSURE_DURATION,INSTRUMENT_ID,image_filename,download_url,file_type,phase_subdir,filter_id
DAWN-A-FC2-3-RDR-VESTA-IMAGES-V1.0,/DATA/IMG/2011123_APPROACH/2011123_OPNAV_001/FC21B0001903_11123133901F1B.IMG,1903,DWNVFC2_1B,2013-10-30T14:28:43.000,2011-123T13:39:01.635,2011-123T13:39:01.838,9.000 <millisecond>,FC2,FC21B0001903_11123133901F1B.IMG,https://sbnarchive.psi.edu/pds3/dawn/fc/DWNVFC2_1B/DATA/IMG/2011123_APPROACH/2011123_OPNAV_001/FC21B0001903_11123133901F1B.IMG,IMG,approach,F1
DAWN-A-FC2-3-RDR-VESTA-IMAGES-V1.0,/DATA/FITS/2011123_APPROACH/2011123_OPNAV_001/FC21B0001903_11123133901F1B.LBL,1903,DWNVFC2_1B,2013-10-30T14:28:43.000,2011-123T13:39:01.635,2011-123T13:39:01.838,9.000 <millisecond>,FC2,FC21B0001903_11123133901F1B.LBL,https://sbnarchive.psi.edu/pds3/dawn/fc/DWNVFC2_1B/DATA/FITS/2011123_APPROACH/2011123_OPNAV_001/FC21B0001903_11123133901F1B.LBL,LBL,approach,F1
DAWN-A-FC2-3-RDR-VESTA-IMAGES-V1.0,/DATA/IMG/2011123_APPROACH/2011123_OPNAV_001/FC21B0001904_11123133946F1B.IMG,1904,DWNVFC2_1B,2013-10-30T14:28:43.000,2011-123T13:39:46.819,2011-123T13:39:48.510,1500.000 <millisecond>,FC2,FC21B0001904_11123133946F1B.IMG,https://sbnarchive.psi.edu/pds3/dawn/fc/DWNVFC2_1B/DATA/IMG/2011123_APPROACH/2011123_OPNAV_001/FC21B0001904_11123133946F1B.IMG,IMG,approach,F1
DAWN-A-FC2-3-RDR-VESTA-IMAGES-V1.0,/DATA/FITS/2011123_APPROACH/2011123_OPNAV_001/FC21B0001904_11123133946F1B.LBL,1904,DWNVFC2_1B,2013-10-30T14:28:43.000,2011-123T13:39:46.819,2011-123T13:39:48.510,1500.000 <millisecond>,FC2,FC21B0001904_11123133946F1B.LBL,https://sbnarchive.psi.edu/pds3/dawn/fc/DWNVFC2_1B/DATA/FITS/2011123_APPROACH/2011123_OPNAV_001/FC21B0001904_11123133946F1B.LBL,LBL,approach,F1
DAWN-A-FC2-3-RDR-VESTA-IMAGES-V1.0,/DATA/IMG/2011123_APPROACH/2011123_OPNAV_001/FC21B0001905_11123134033F1B.IMG,1905,DWNVFC2_1B,2013-10-30T14:28:43.000,2011-123T13:40:33.740,2011-123T13:40:33.944,9.000 <millisecond>,FC2,FC21B0001905_11123134033F1B.IMG,https://sbnarchive.psi.edu/pds3/dawn/fc/DWNVFC2_1B/DATA/IMG/2011123_APPROACH/2011123_OPNAV_001/FC21B0001905_11123134033F1B.IMG,IMG,approach,F1
DAWN-A-FC2-3-RDR-VESTA-IMAGES-V1.0,/DATA/FITS/2011123_APPROACH/2011123_OPNAV_001/FC21B0001905_11123134033F1B.LBL,1905,DWNVFC2_1B,2013-10-30T14:28:43.000,2011-123T13:40:33.740,2011-123T13:40:33.944,9.000 <millisecond>,FC2,FC21B0001905_11123134033F1B.LBL,https://sbnarchive.psi.edu/pds3/dawn/fc/DWNVFC2_1B/DATA/FITS/2011123_APPROACH/2011123_OPNAV_001/FC21B0001905_11123134033F1B.LBL,LBL,approach,F1
DAWN-A-FC2-3-RDR-VESTA-IMAGES-V1.0,/DATA/IMG/2011123_APPROACH/2011123_OPNAV_001/FC21B0001906_11123134116F1B.IMG,1906,DWNVFC2_1B,2013-10-30T14:28:43.000,2011-123T13:41:16.154,2011-123T13:41:17.846,1500.000 <millisecond>,FC2,FC21B0001906_11123134116F1B.IMG,https://sbnarchive.psi.edu/pds3/dawn/fc/DWNVFC2_1B/DATA/IMG/2011123_APPROACH/2011123_OPNAV_001/FC21B0001906_11123134116F1B.IMG,IMG,approach,F1
DAWN-A-FC2-3-RDR-VESTA-IMAGES-V1.0,/DATA/FITS/2011123_APPROACH/2011123_OPNAV_001/FC21B0001906_11123134116F1B.LBL,1906,DWNVFC2_1B,2013-10-30T14:28:43.000,2011-123T13:41:16.154,2011-123T13:41:17.846,1500.000 <millisecond>,FC2,FC21B0001906_11123134116F1B.LBL,https://sbnarchive.psi.edu/pds3/dawn/fc/DWNVFC2_1B/DATA/FITS/2011123_APPROACH/2011123_OPNAV_001/FC21B0001906_11123134116F1B.LBL,LBL,approach,F1
DAWN-A-FC2-3-RDR-VESTA-IMAGES-V1.0,/DATA/IMG/2011123_APPROACH/2011123_OPNAV_001/FC21B0001907_11123134201F1B.IMG,1907,DWNVFC2_1B,2013-10-30T14:28:44.000,2011-123T13:42:01.170,2011-123T13:42:01.369,9.000 <millisecond>,FC2,FC21B0001907_11123134201F1B.IMG,https://sbnarchive.psi.edu/pds3/dawn/fc/DWNVFC2_1B/DATA/IMG/2011123_APPROACH/2011123_OPNAV_001/FC21B0001907_11123134201F1B.IMG,IMG,approach,F1
DAWN-A-FC2-3-RDR-VESTA-IMAGES-V1.0,/DATA/FITS/2011123_APPROACH/2011123_OPNAV_001/FC21B0001907_11123134201F1B.LBL,1907,DWNVFC2_1B,2013-10-30T14:28:44.000,2011-123T13:42:01.170,2011-123T13:42:01.369,9.000 <millisecond>,FC2,FC21B0001907_11123134201F1B.LBL,https://sbnarchive.psi.edu/pds3/dawn/fc/DWNVFC2_1B/DATA/FITS/2011123_APPROACH/2011123_OPNAV_001/FC21B0001907_11123134201F1B.LBL,LBL,approach,F1
